utility,month,arrears_c,arrears_d
Orange & Rockland,2022-04,18781,24223479.94
PSEGLINY,2022-04,118564,157363091.4
RG&E,2022-04,63080,59546538.61
NYSEG,2022-04,99908,62959831.27
KEDLI,2022-05,52879,71114081
Central Hudson,2022-05,58079,52501281.18
Con Edison,2022-05,385358,826880124.3
Niagara Mohawk Power Corp,2022-05,241188,379908799
NYSEG,2022-05,108283,71481804.29
RG&E,2022-05,66068,63889273.94
National Fuel,2022-05,63540,46245733
KEDNY,2022-05,203006,215136822
Orange & Rockland,2022-05,19563,25317324.48
PSEGLINY,2022-05,120051,160352580
KEDNY,2022-06,198540,216548726
Niagara Mohawk Power Corp,2022-06,240430,386988378
KEDLI,2022-06,54862,76166030
National Fuel,2022-06,63288,43815542
NYSEG,2022-06,108363,74015138.26
Central Hudson,2022-06,60188,59718799.37
Con Edison,2022-06,387709,837792139.6
RG&E,2022-06,69270,66568107.6
Orange & Rockland,2022-06,19238,24799767.74
PSEGLINY,2022-06,119267,159319955.6
Con Edison,2022-07,386965,843715033.8
Niagara Mohawk Power Corp,2022-07,237986,291479613
KEDLI,2022-07,53907,69014316
National Fuel,2022-07,64287,44752038
KEDNY,2022-07,193887,177496733
Central Hudson,2022-07,62824,63887228.61
RG&E,2022-07,65247,43664255.8
NYSEG,2022-07,106328,58698476.64
Orange & Rockland,2022-07,17477,22965111.53
PSEGLINY,2022-07,116806,156570609
